PM100D  SN:P0012697  Firmware: 2.4.0 -- Sensor: S302C  SN:151417
Wave 1064nm	Range Auto	Sens 300,33E-3 V/W	Zero -319,59E-6  V
24/09/2026 19:49:34,064 	1,6380E-3	W
24/09/2026 19:49:34,110 	1,6324E-3	W
24/09/2026 19:49:34,125 	1,6315E-3	W
24/09/2026 19:49:34,170 	1,6261E-3	W
24/09/2026 19:49:34,184 	1,6247E-3	W
24/09/2026 19:49:34,230 	1,6156E-3	W
24/09/2026 19:49:34,268 	1,6145E-3	W
24/09/2026 19:49:34,316 	1,6091E-3	W
24/09/2026 19:49:34,330 	1,6084E-3	W
24/09/2026 19:49:34,367 	1,6042E-3	W
24/09/2026 19:49:34,425 	1,5983E-3	W
24/09/2026 19:49:34,439 	1,5961E-3	W
24/09/2026 19:49:34,493 	1,5906E-3	W
24/09/2026 19:49:34,520 	1,5892E-3	W
24/09/2026 19:49:34,552 	1,5843E-3	W
24/09/2026 19:49:34,603 	1,5806E-3	W
24/09/2026 19:49:34,617 	1,5793E-3	W
24/09/2026 19:49:34,671 	1,5736E-3	W
24/09/2026 19:49:34,684 	1,5699E-3	W
24/09/2026 19:49:34,718 	1,5696E-3	W
24/09/2026 19:49:34,777 	1,5635E-3	W
24/09/2026 19:49:34,793 	1,5624E-3	W
24/09/2026 19:49:34,848 	1,5566E-3	W
24/09/2026 19:49:34,870 	1,5554E-3	W
24/09/2026 19:49:34,931 	1,5474E-3	W
24/09/2026 19:49:34,970 	1,5466E-3	W
24/09/2026 19:49:35,031 	1,5396E-3	W
24/09/2026 19:49:35,067 	1,5389E-3	W
24/09/2026 19:49:35,134 	1,5309E-3	W
24/09/2026 19:49:35,168 	1,5293E-3	W
24/09/2026 19:49:35,216 	1,5255E-3	W
24/09/2026 19:49:35,232 	1,5234E-3	W
24/09/2026 19:49:35,267 	1,5222E-3	W
24/09/2026 19:49:35,332 	1,5149E-3	W
24/09/2026 19:49:35,369 	1,5134E-3	W
24/09/2026 19:49:35,414 	1,5096E-3	W
24/09/2026 19:49:35,427 	1,5080E-3	W
24/09/2026 19:49:35,471 	1,5052E-3	W
24/09/2026 19:49:35,484 	1,5028E-3	W
24/09/2026 19:49:35,520 	1,5021E-3	W
24/09/2026 19:49:35,562 	1,4987E-3	W
24/09/2026 19:49:35,576 	1,4978E-3	W
24/09/2026 19:49:35,617 	1,4944E-3	W
24/09/2026 19:49:35,633 	1,4919E-3	W
24/09/2026 19:49:35,668 	1,4908E-3	W
24/09/2026 19:49:35,732 	1,4858E-3	W
24/09/2026 19:49:35,770 	1,4848E-3	W
24/09/2026 19:49:35,826 	1,4803E-3	W
24/09/2026 19:49:35,865 	1,4780E-3	W
24/09/2026 19:49:35,922 	1,4742E-3	W
24/09/2026 19:49:35,939 	1,4723E-3	W
24/09/2026 19:49:35,994 	1,4705E-3	W
24/09/2026 19:49:36,006 	1,4693E-3	W
24/09/2026 19:49:36,050 	1,4665E-3	W
24/09/2026 19:49:36,068 	1,4654E-3	W
24/09/2026 19:49:36,128 	1,4620E-3	W
24/09/2026 19:49:36,163 	1,4611E-3	W
24/09/2026 19:49:36,223 	1,4575E-3	W
24/09/2026 19:49:36,236 	1,4551E-3	W
24/09/2026 19:49:36,296 	1,4520E-3	W
24/09/2026 19:49:36,322 	1,4517E-3	W
24/09/2026 19:49:36,384 	1,4490E-3	W
24/09/2026 19:49:36,397 	1,4483E-3	W
24/09/2026 19:49:36,445 	1,4464E-3	W
24/09/2026 19:49:36,470 	1,4454E-3	W
24/09/2026 19:49:36,534 	1,4416E-3	W
24/09/2026 19:49:36,568 	1,4416E-3	W
24/09/2026 19:49:36,616 	1,4391E-3	W
24/09/2026 19:49:36,630 	1,4388E-3	W
24/09/2026 19:49:36,701 	1,4371E-3	W
24/09/2026 19:49:36,723 	1,4369E-3	W
24/09/2026 19:49:36,785 	1,4352E-3	W
24/09/2026 19:49:36,798 	1,4345E-3	W
24/09/2026 19:49:36,835 	1,4335E-3	W
24/09/2026 19:49:36,867 	1,4335E-3	W
24/09/2026 19:49:36,921 	1,4327E-3	W
24/09/2026 19:49:36,937 	1,4322E-3	W
24/09/2026 19:49:36,992 	1,4316E-3	W
24/09/2026 19:49:37,008 	1,4316E-3	W
24/09/2026 19:49:37,068 	1,4316E-3	W
24/09/2026 19:49:37,082 	1,4311E-3	W
24/09/2026 19:49:37,118 	1,4317E-3	W
24/09/2026 19:49:37,179 	1,4309E-3	W
24/09/2026 19:49:37,194 	1,4312E-3	W
24/09/2026 19:49:37,244 	1,4319E-3	W
24/09/2026 19:49:37,269 	1,4313E-3	W
24/09/2026 19:49:37,322 	1,4326E-3	W
24/09/2026 19:49:37,338 	1,4320E-3	W
24/09/2026 19:49:37,393 	1,4331E-3	W
24/09/2026 19:49:37,407 	1,4330E-3	W
24/09/2026 19:49:37,460 	1,4339E-3	W
24/09/2026 19:49:37,475 	1,4344E-3	W
24/09/2026 19:49:37,533 	1,4360E-3	W
24/09/2026 19:49:37,567 	1,4364E-3	W
24/09/2026 19:49:37,607 	1,4371E-3	W
24/09/2026 19:49:37,624 	1,4376E-3	W
24/09/2026 19:49:37,679 	1,4405E-3	W
24/09/2026 19:49:37,718 	1,4425E-3	W
24/09/2026 19:49:37,775 	1,4456E-3	W
24/09/2026 19:49:37,790 	1,4473E-3	W
24/09/2026 19:49:37,848 	1,4512E-3	W
24/09/2026 19:49:37,869 	1,4532E-3	W
24/09/2026 19:49:37,925 	1,4595E-3	W
24/09/2026 19:49:37,940 	1,4626E-3	W
24/09/2026 19:49:37,995 	1,4677E-3	W
24/09/2026 19:49:38,011 	1,4697E-3	W
24/09/2026 19:49:38,071 	1,4812E-3	W
24/09/2026 19:49:38,085 	1,4883E-3	W
24/09/2026 19:49:38,117 	1,4918E-3	W
24/09/2026 19:49:38,182 	1,5079E-3	W
24/09/2026 19:49:38,196 	1,5109E-3	W
24/09/2026 19:49:38,254 	1,5272E-3	W
24/09/2026 19:49:38,270 	1,5319E-3	W
24/09/2026 19:49:38,330 	1,5617E-3	W
24/09/2026 19:49:38,366 	1,5668E-3	W
24/09/2026 19:49:38,428 	1,5965E-3	W
24/09/2026 19:49:38,465 	1,6147E-3	W
24/09/2026 19:49:38,520 	1,6459E-3	W
24/09/2026 19:49:38,536 	1,6629E-3	W
24/09/2026 19:49:38,598 	1,6920E-3	W
24/09/2026 19:49:38,613 	1,6995E-3	W
24/09/2026 19:49:38,671 	1,7425E-3	W
24/09/2026 19:49:38,686 	1,7679E-3	W
24/09/2026 19:49:38,720 	1,7788E-3	W
24/09/2026 19:49:38,782 	1,8331E-3	W
24/09/2026 19:49:38,797 	1,8437E-3	W
24/09/2026 19:49:38,860 	1,9045E-3	W
24/09/2026 19:49:38,876 	1,9160E-3	W
24/09/2026 19:49:38,917 	1,9582E-3	W
24/09/2026 19:49:38,931 	1,9929E-3	W
24/09/2026 19:49:38,966 	2,0065E-3	W
24/09/2026 19:49:39,031 	2,1061E-3	W
24/09/2026 19:49:39,069 	2,1217E-3	W
