PM100D  SN:P0012697  Firmware: 2.4.0 -- Sensor: S302C  SN:151417
Wave 1064nm	Range Auto	Sens 300,33E-3 V/W	Zero -319,59E-6  V
24/09/2026 19:58:26,829 	1,5989E-3	W
24/09/2026 19:58:26,868 	1,5938E-3	W
24/09/2026 19:58:26,883 	1,5916E-3	W
24/09/2026 19:58:26,931 	1,5856E-3	W
24/09/2026 19:58:26,945 	1,5822E-3	W
24/09/2026 19:58:26,981 	1,5815E-3	W
24/09/2026 19:58:27,030 	1,5753E-3	W
24/09/2026 19:58:27,045 	1,5736E-3	W
24/09/2026 19:58:27,093 	1,5684E-3	W
24/09/2026 19:58:27,131 	1,5641E-3	W
24/09/2026 19:58:27,184 	1,5585E-3	W
24/09/2026 19:58:27,199 	1,5541E-3	W
24/09/2026 19:58:27,235 	1,5538E-3	W
24/09/2026 19:58:27,292 	1,5464E-3	W
24/09/2026 19:58:27,331 	1,5435E-3	W
24/09/2026 19:58:27,384 	1,5376E-3	W
24/09/2026 19:58:27,397 	1,5347E-3	W
24/09/2026 19:58:27,432 	1,5331E-3	W
24/09/2026 19:58:27,491 	1,5264E-3	W
24/09/2026 19:58:27,508 	1,5236E-3	W
24/09/2026 19:58:27,562 	1,5189E-3	W
24/09/2026 19:58:27,587 	1,5177E-3	W
24/09/2026 19:58:27,641 	1,5131E-3	W
24/09/2026 19:58:27,654 	1,5114E-3	W
24/09/2026 19:58:27,718 	1,5059E-3	W
24/09/2026 19:58:27,736 	1,5048E-3	W
24/09/2026 19:58:27,794 	1,4998E-3	W
24/09/2026 19:58:27,806 	1,4978E-3	W
24/09/2026 19:58:27,869 	1,4938E-3	W
24/09/2026 19:58:27,885 	1,4923E-3	W
24/09/2026 19:58:27,944 	1,4876E-3	W
24/09/2026 19:58:27,958 	1,4861E-3	W
24/09/2026 19:58:28,020 	1,4815E-3	W
24/09/2026 19:58:28,037 	1,4797E-3	W
24/09/2026 19:58:28,095 	1,4734E-3	W
24/09/2026 19:58:28,132 	1,4736E-3	W
24/09/2026 19:58:28,193 	1,4688E-3	W
24/09/2026 19:58:28,230 	1,4665E-3	W
24/09/2026 19:58:28,289 	1,4620E-3	W
24/09/2026 19:58:28,303 	1,4592E-3	W
24/09/2026 19:58:28,333 	1,4591E-3	W
24/09/2026 19:58:28,393 	1,4546E-3	W
24/09/2026 19:58:28,431 	1,4523E-3	W
24/09/2026 19:58:28,490 	1,4481E-3	W
24/09/2026 19:58:28,506 	1,4464E-3	W
