PM100D  SN:P0012697  Firmware: 2.4.0 -- Sensor: S302C  SN:151417
Wave 1064nm	Range Auto	Sens 300,33E-3 V/W	Zero -319,59E-6  V
17/09/2026 15:19:56,421 	3,0422E-3	W
17/09/2026 15:19:56,549 	3,0430E-3	W
17/09/2026 15:19:56,652 	3,0439E-3	W
17/09/2026 15:19:56,755 	3,0439E-3	W
17/09/2026 15:19:56,862 	3,0450E-3	W
17/09/2026 15:19:56,966 	3,0453E-3	W
17/09/2026 15:19:57,071 	3,0464E-3	W
17/09/2026 15:19:57,174 	3,0476E-3	W
17/09/2026 15:19:57,277 	3,0482E-3	W
17/09/2026 15:19:57,383 	3,0500E-3	W
17/09/2026 15:19:57,488 	3,0519E-3	W
17/09/2026 15:19:57,592 	3,0515E-3	W
17/09/2026 15:19:57,696 	3,0553E-3	W
17/09/2026 15:19:57,801 	3,0563E-3	W
17/09/2026 15:19:57,913 	3,0588E-3	W
17/09/2026 15:19:58,017 	3,0595E-3	W
17/09/2026 15:19:58,121 	3,0599E-3	W
17/09/2026 15:19:58,226 	3,0614E-3	W
17/09/2026 15:19:58,331 	3,0623E-3	W
17/09/2026 15:19:58,433 	3,0626E-3	W
17/09/2026 15:19:58,539 	3,0623E-3	W
17/09/2026 15:19:58,642 	3,0627E-3	W
17/09/2026 15:19:58,745 	3,0621E-3	W
17/09/2026 15:19:58,849 	3,0622E-3	W
17/09/2026 15:19:58,952 	3,0627E-3	W
17/09/2026 15:19:59,058 	3,0622E-3	W
17/09/2026 15:19:59,163 	3,0631E-3	W
17/09/2026 15:19:59,268 	3,0631E-3	W
17/09/2026 15:19:59,371 	3,0650E-3	W
17/09/2026 15:19:59,475 	3,0661E-3	W
17/09/2026 15:19:59,579 	3,0670E-3	W
17/09/2026 15:19:59,684 	3,0670E-3	W
17/09/2026 15:19:59,790 	3,0676E-3	W
17/09/2026 15:19:59,894 	3,0677E-3	W
17/09/2026 15:19:59,998 	3,0676E-3	W
17/09/2026 15:20:00,103 	3,0684E-3	W
17/09/2026 15:20:00,210 	3,0685E-3	W
17/09/2026 15:20:00,314 	3,0681E-3	W
