time_s,voltage_V
-1.900000000000000105e-05,-1.975999999999999979e-01
-1.898000000000000124e-05,-1.984000000000000208e-01
-1.896000000000000143e-05,-1.968000000000000027e-01
-1.894000000000000162e-05,-1.968000000000000027e-01
-1.892000000000000181e-05,-1.975999999999999979e-01
-1.890000000000000200e-05,-1.960000000000000075e-01
-1.888000000000000219e-05,-1.960000000000000075e-01
-1.886000000000000239e-05,-1.960000000000000075e-01
-1.884000000000000258e-05,-1.968000000000000027e-01
-1.881999999999999938e-05,-1.984000000000000208e-01
-1.879999999999999957e-05,-1.975999999999999979e-01
-1.877999999999999976e-05,-1.960000000000000075e-01
-1.875999999999999996e-05,-1.975999999999999979e-01
-1.874000000000000015e-05,-1.952000000000000124e-01
-1.872000000000000034e-05,-1.975999999999999979e-01
-1.870000000000000053e-05,-1.960000000000000075e-01
-1.868000000000000072e-05,-1.975999999999999979e-01
-1.866000000000000091e-05,-1.968000000000000027e-01
-1.864000000000000110e-05,-1.960000000000000075e-01
-1.862000000000000130e-05,-1.984000000000000208e-01
-1.860000000000000149e-05,-1.952000000000000124e-01
-1.858000000000000168e-05,-1.960000000000000075e-01
-1.856000000000000187e-05,-1.984000000000000208e-01
-1.854000000000000206e-05,-1.992000000000000159e-01
-1.852000000000000225e-05,-1.936000000000000221e-01
-1.850000000000000245e-05,-1.944000000000000172e-01
-1.848000000000000264e-05,-1.992000000000000159e-01
-1.845999999999999944e-05,-1.984000000000000208e-01
-1.843999999999999963e-05,-1.960000000000000075e-01
-1.841999999999999982e-05,-1.968000000000000027e-01
-1.840000000000000001e-05,-1.960000000000000075e-01
-1.838000000000000021e-05,-1.975999999999999979e-01
-1.836000000000000040e-05,-1.968000000000000027e-01
-1.834000000000000059e-05,-1.992000000000000159e-01
-1.832000000000000078e-05,-1.960000000000000075e-01
-1.830000000000000097e-05,-1.952000000000000124e-01
-1.828000000000000116e-05,-1.960000000000000075e-01
-1.826000000000000135e-05,-2.000000000000000111e-01
-1.824000000000000155e-05,-1.975999999999999979e-01
-1.822000000000000174e-05,-1.936000000000000221e-01
-1.820000000000000193e-05,-1.936000000000000221e-01
-1.818000000000000212e-05,-1.992000000000000159e-01
-1.816000000000000231e-05,-1.984000000000000208e-01
-1.814000000000000250e-05,-1.975999999999999979e-01
-1.812000000000000270e-05,-1.968000000000000027e-01
-1.809999999999999950e-05,-1.968000000000000027e-01
-1.807999999999999969e-05,-1.952000000000000124e-01
-1.805999999999999988e-05,-1.968000000000000027e-01
-1.804000000000000007e-05,-1.952000000000000124e-01
-1.802000000000000026e-05,-1.975999999999999979e-01
-1.800000000000000046e-05,-1.968000000000000027e-01
