PM100D  SN:P0012697  Firmware: 2.4.0 -- Sensor: S302C  SN:151417
Wave 1064nm	Range Auto	Sens 300,33E-3 V/W	Zero -319,59E-6  V
17/09/2026 15:38:01,995 	5,4297E-3	W
17/09/2026 15:38:02,038 	5,4322E-3	W
17/09/2026 15:38:02,052 	5,4364E-3	W
17/09/2026 15:38:02,107 	5,4306E-3	W
17/09/2026 15:38:02,122 	5,4214E-3	W
17/09/2026 15:38:02,176 	5,4239E-3	W
17/09/2026 15:38:02,191 	5,4248E-3	W
17/09/2026 15:38:02,248 	5,4314E-3	W
17/09/2026 15:38:02,264 	5,4306E-3	W
17/09/2026 15:38:02,322 	5,4173E-3	W
17/09/2026 15:38:02,337 	5,4206E-3	W
17/09/2026 15:38:02,399 	5,4264E-3	W
17/09/2026 15:38:02,415 	5,4206E-3	W
17/09/2026 15:38:02,482 	5,4206E-3	W
17/09/2026 15:38:02,497 	5,4214E-3	W
17/09/2026 15:38:02,565 	5,4239E-3	W
17/09/2026 15:38:02,577 	5,4115E-3	W
17/09/2026 15:38:02,625 	5,4214E-3	W
17/09/2026 15:38:02,675 	5,4173E-3	W
17/09/2026 15:38:02,689 	5,4223E-3	W
17/09/2026 15:38:02,762 	5,4181E-3	W
17/09/2026 15:38:02,777 	5,4206E-3	W
17/09/2026 15:38:02,849 	5,4190E-3	W
17/09/2026 15:38:02,862 	5,4190E-3	W
17/09/2026 15:38:02,935 	5,4181E-3	W
17/09/2026 15:38:02,949 	5,4098E-3	W
17/09/2026 15:38:03,026 	5,4007E-3	W
17/09/2026 15:38:03,042 	5,4024E-3	W
17/09/2026 15:38:03,129 	5,3866E-3	W
17/09/2026 15:38:03,142 	5,3883E-3	W
17/09/2026 15:38:03,226 	5,3709E-3	W
17/09/2026 15:38:03,240 	5,3750E-3	W
17/09/2026 15:38:03,292 	5,3618E-3	W
17/09/2026 15:38:03,306 	5,3618E-3	W
17/09/2026 15:38:03,383 	5,3494E-3	W
17/09/2026 15:38:03,398 	5,3535E-3	W
17/09/2026 15:38:03,480 	5,3477E-3	W
17/09/2026 15:38:03,494 	5,3361E-3	W
17/09/2026 15:38:03,574 	5,3228E-3	W
17/09/2026 15:38:03,589 	5,3295E-3	W
17/09/2026 15:38:03,667 	5,3212E-3	W
17/09/2026 15:38:03,681 	5,3212E-3	W
17/09/2026 15:38:03,758 	5,3146E-3	W
17/09/2026 15:38:03,772 	5,3228E-3	W
17/09/2026 15:38:03,855 	5,3179E-3	W
17/09/2026 15:38:03,868 	5,3121E-3	W
17/09/2026 15:38:03,951 	5,2972E-3	W
17/09/2026 15:38:03,968 	5,2988E-3	W
17/09/2026 15:38:04,051 	5,3096E-3	W
17/09/2026 15:38:04,066 	5,3005E-3	W
17/09/2026 15:38:04,147 	5,3046E-3	W
17/09/2026 15:38:04,162 	5,2996E-3	W
17/09/2026 15:38:04,244 	5,3021E-3	W
17/09/2026 15:38:04,269 	5,2980E-3	W
17/09/2026 15:38:04,352 	5,3046E-3	W
17/09/2026 15:38:04,365 	5,3088E-3	W
17/09/2026 15:38:04,452 	5,2980E-3	W
17/09/2026 15:38:04,466 	5,2905E-3	W
17/09/2026 15:38:04,551 	5,2773E-3	W
17/09/2026 15:38:04,568 	5,2773E-3	W
17/09/2026 15:38:04,655 	5,2648E-3	W
17/09/2026 15:38:04,669 	5,2624E-3	W
17/09/2026 15:38:04,757 	5,2582E-3	W
17/09/2026 15:38:04,769 	5,2574E-3	W
17/09/2026 15:38:04,857 	5,2532E-3	W
17/09/2026 15:38:04,871 	5,2425E-3	W
17/09/2026 15:38:04,945 	5,2416E-3	W
17/09/2026 15:38:04,958 	5,2317E-3	W
17/09/2026 15:38:05,011 	5,2300E-3	W
17/09/2026 15:38:05,024 	5,2350E-3	W
17/09/2026 15:38:05,102 	5,2234E-3	W
17/09/2026 15:38:05,116 	5,2135E-3	W
17/09/2026 15:38:05,197 	5,2102E-3	W
17/09/2026 15:38:05,211 	5,2085E-3	W
17/09/2026 15:38:05,288 	5,2010E-3	W
17/09/2026 15:38:05,301 	5,2002E-3	W
17/09/2026 15:38:05,377 	5,2085E-3	W
17/09/2026 15:38:05,391 	5,2093E-3	W
17/09/2026 15:38:05,470 	5,2184E-3	W
17/09/2026 15:38:05,486 	5,2193E-3	W
17/09/2026 15:38:05,560 	5,2209E-3	W
17/09/2026 15:38:05,574 	5,2226E-3	W
17/09/2026 15:38:05,652 	5,2292E-3	W
17/09/2026 15:38:05,667 	5,2342E-3	W
17/09/2026 15:38:05,745 	5,2350E-3	W
17/09/2026 15:38:05,767 	5,2367E-3	W
17/09/2026 15:38:05,840 	5,2292E-3	W
17/09/2026 15:38:05,854 	5,2259E-3	W
17/09/2026 15:38:05,932 	5,2251E-3	W
17/09/2026 15:38:05,946 	5,2193E-3	W
17/09/2026 15:38:06,027 	5,2085E-3	W
17/09/2026 15:38:06,042 	5,2035E-3	W
17/09/2026 15:38:06,120 	5,1903E-3	W
17/09/2026 15:38:06,135 	5,1836E-3	W
