time_s,voltage_V
6.999999999999999895e-06,1.000000000000000000e+00
7.009999999999999799e-06,1.100000000000000089e+00
7.019999999999999704e-06,1.179999999999999938e+00
7.029999999999999608e-06,1.280000000000000027e+00
7.039999999999999512e-06,1.360000000000000098e+00
7.050000000000000263e-06,1.419999999999999929e+00
7.060000000000000168e-06,1.479999999999999982e+00
7.070000000000000072e-06,1.520000000000000018e+00
7.079999999999999976e-06,1.560000000000000053e+00
7.089999999999999880e-06,1.580000000000000071e+00
7.099999999999999785e-06,1.580000000000000071e+00
7.109999999999999689e-06,1.540000000000000036e+00
7.119999999999999593e-06,1.520000000000000018e+00
7.129999999999999497e-06,1.479999999999999982e+00
7.140000000000000249e-06,1.439999999999999947e+00
7.150000000000000153e-06,1.419999999999999929e+00
7.160000000000000057e-06,1.360000000000000098e+00
7.169999999999999961e-06,1.320000000000000062e+00
7.179999999999999866e-06,1.260000000000000009e+00
7.189999999999999770e-06,1.179999999999999938e+00
7.199999999999999674e-06,1.159999999999999920e+00
7.209999999999999578e-06,1.120000000000000107e+00
7.220000000000000330e-06,1.040000000000000036e+00
7.230000000000000234e-06,1.020000000000000018e+00
7.240000000000000138e-06,9.799999999999999822e-01
7.250000000000000043e-06,9.400000000000000577e-01
7.259999999999999947e-06,9.000000000000000222e-01
7.269999999999999851e-06,8.599999999999999867e-01
7.279999999999999755e-06,8.399999999999999689e-01
7.289999999999999660e-06,7.800000000000000266e-01
7.299999999999999564e-06,7.800000000000000266e-01
7.309999999999999468e-06,7.399999999999999911e-01
7.320000000000000219e-06,7.399999999999999911e-01
7.330000000000000124e-06,7.399999999999999911e-01
7.340000000000000028e-06,6.800000000000000488e-01
7.349999999999999932e-06,6.800000000000000488e-01
7.359999999999999836e-06,6.800000000000000488e-01
7.369999999999999741e-06,6.600000000000000311e-01
7.379999999999999645e-06,6.600000000000000311e-01
7.389999999999999549e-06,5.999999999999999778e-01
7.400000000000000300e-06,6.400000000000000133e-01
7.410000000000000205e-06,6.400000000000000133e-01
7.420000000000000109e-06,6.199999999999999956e-01
7.430000000000000013e-06,6.400000000000000133e-01
7.439999999999999917e-06,5.999999999999999778e-01
7.449999999999999822e-06,5.999999999999999778e-01
7.459999999999999726e-06,5.799999999999999600e-01
7.469999999999999630e-06,5.600000000000000533e-01
7.479999999999999534e-06,5.600000000000000533e-01
7.489999999999999439e-06,5.799999999999999600e-01
7.500000000000000190e-06,5.600000000000000533e-01
7.510000000000000094e-06,5.600000000000000533e-01
7.519999999999999999e-06,5.400000000000000355e-01
7.529999999999999903e-06,5.400000000000000355e-01
7.539999999999999807e-06,5.400000000000000355e-01
7.549999999999999711e-06,5.400000000000000355e-01
7.559999999999999616e-06,5.400000000000000355e-01
7.570000000000000367e-06,5.200000000000000178e-01
7.580000000000000271e-06,5.400000000000000355e-01
7.590000000000000175e-06,5.000000000000000000e-01
7.600000000000000080e-06,5.000000000000000000e-01
7.609999999999999984e-06,5.000000000000000000e-01
7.619999999999999888e-06,5.000000000000000000e-01
7.629999999999999792e-06,5.000000000000000000e-01
7.639999999999999697e-06,5.000000000000000000e-01
7.649999999999999601e-06,5.000000000000000000e-01
7.659999999999999505e-06,4.600000000000000200e-01
7.669999999999999409e-06,4.799999999999999822e-01
7.679999999999999314e-06,4.799999999999999822e-01
7.689999999999999218e-06,4.600000000000000200e-01
7.699999999999999122e-06,4.400000000000000022e-01
7.709999999999999026e-06,4.799999999999999822e-01
7.720000000000000625e-06,4.600000000000000200e-01
7.730000000000000529e-06,4.799999999999999822e-01
7.740000000000000433e-06,4.400000000000000022e-01
7.750000000000000338e-06,4.799999999999999822e-01
7.760000000000000242e-06,5.000000000000000000e-01
7.770000000000000146e-06,4.400000000000000022e-01
7.780000000000000050e-06,4.600000000000000200e-01
7.789999999999999955e-06,4.600000000000000200e-01
7.799999999999999859e-06,4.600000000000000200e-01
7.809999999999999763e-06,4.600000000000000200e-01
7.819999999999999667e-06,4.400000000000000022e-01
7.829999999999999572e-06,4.400000000000000022e-01
7.839999999999999476e-06,4.600000000000000200e-01
7.849999999999999380e-06,4.600000000000000200e-01
