time_s,voltage_V
-4.099999999999999709e-06,-4.000000000000000083e-02
-4.089999999999999804e-06,0.000000000000000000e+00
-4.079999999999999900e-06,-2.000000000000000042e-02
-4.069999999999999996e-06,0.000000000000000000e+00
-4.060000000000000092e-06,-4.000000000000000083e-02
-4.049999999999999340e-06,-5.999999999999999778e-02
-4.039999999999999436e-06,-2.000000000000000042e-02
-4.029999999999999532e-06,-4.000000000000000083e-02
-4.019999999999999628e-06,-2.000000000000000042e-02
-4.009999999999999723e-06,-4.000000000000000083e-02
-3.999999999999999819e-06,-2.000000000000000042e-02
-3.989999999999999915e-06,-2.000000000000000042e-02
-3.980000000000000010e-06,-2.000000000000000042e-02
-3.970000000000000106e-06,-2.000000000000000042e-02
-3.959999999999999355e-06,-2.000000000000000042e-02
-3.949999999999999451e-06,-5.999999999999999778e-02
-3.939999999999999546e-06,-4.000000000000000083e-02
-3.929999999999999642e-06,-2.000000000000000042e-02
-3.919999999999999738e-06,0.000000000000000000e+00
-3.909999999999999834e-06,-4.000000000000000083e-02
-3.899999999999999929e-06,-4.000000000000000083e-02
-3.890000000000000025e-06,-2.000000000000000042e-02
-3.880000000000000121e-06,-2.000000000000000042e-02
-3.869999999999999370e-06,-4.000000000000000083e-02
-3.859999999999999465e-06,-2.000000000000000042e-02
-3.849999999999999561e-06,0.000000000000000000e+00
-3.839999999999999657e-06,-2.000000000000000042e-02
-3.829999999999999753e-06,-5.999999999999999778e-02
-3.819999999999999848e-06,-2.000000000000000042e-02
-3.809999999999999521e-06,-4.000000000000000083e-02
-3.799999999999999616e-06,-2.000000000000000042e-02
-3.789999999999999712e-06,-2.000000000000000042e-02
-3.779999999999999808e-06,-4.000000000000000083e-02
-3.769999999999999480e-06,-2.000000000000000042e-02
-3.759999999999999576e-06,-4.000000000000000083e-02
-3.749999999999999671e-06,-4.000000000000000083e-02
-3.739999999999999767e-06,-2.000000000000000042e-02
-3.729999999999999863e-06,-4.000000000000000083e-02
-3.719999999999999535e-06,-4.000000000000000083e-02
-3.709999999999999631e-06,-4.000000000000000083e-02
-3.699999999999999727e-06,-4.000000000000000083e-02
-3.689999999999999822e-06,-5.999999999999999778e-02
-3.679999999999999495e-06,-4.000000000000000083e-02
