time_s,voltage_V
1.599999999999999928e-06,4.000000000000000222e-01
1.609999999999999832e-06,4.000000000000000222e-01
1.619999999999999948e-06,3.599999999999999867e-01
1.629999999999999852e-06,3.800000000000000044e-01
1.639999999999999968e-06,3.200000000000000067e-01
1.649999999999999872e-06,3.599999999999999867e-01
1.659999999999999988e-06,3.400000000000000244e-01
1.669999999999999893e-06,3.400000000000000244e-01
1.680000000000000009e-06,3.200000000000000067e-01
1.689999999999999913e-06,2.999999999999999889e-01
1.699999999999999817e-06,3.200000000000000067e-01
1.709999999999999933e-06,2.999999999999999889e-01
1.720000000000000049e-06,2.800000000000000266e-01
1.729999999999999953e-06,2.800000000000000266e-01
1.739999999999999858e-06,2.800000000000000266e-01
1.749999999999999974e-06,2.399999999999999911e-01
1.759999999999999878e-06,2.800000000000000266e-01
1.769999999999999994e-06,2.600000000000000089e-01
1.779999999999999898e-06,2.600000000000000089e-01
1.790000000000000014e-06,2.399999999999999911e-01
1.799999999999999919e-06,2.399999999999999911e-01
1.810000000000000035e-06,2.399999999999999911e-01
1.819999999999999939e-06,2.399999999999999911e-01
1.829999999999999843e-06,2.399999999999999911e-01
1.839999999999999959e-06,2.200000000000000011e-01
1.849999999999999863e-06,2.200000000000000011e-01
1.859999999999999979e-06,2.000000000000000111e-01
1.869999999999999884e-06,2.200000000000000011e-01
1.880000000000000000e-06,2.200000000000000011e-01
1.889999999999999904e-06,1.799999999999999933e-01
1.900000000000000020e-06,2.200000000000000011e-01
1.909999999999999924e-06,2.200000000000000011e-01
1.919999999999999828e-06,1.799999999999999933e-01
1.930000000000000156e-06,2.000000000000000111e-01
1.940000000000000060e-06,2.200000000000000011e-01
1.949999999999999965e-06,2.000000000000000111e-01
1.959999999999999869e-06,1.799999999999999933e-01
1.969999999999999773e-06,1.799999999999999933e-01
1.980000000000000101e-06,1.799999999999999933e-01
1.990000000000000005e-06,2.000000000000000111e-01
1.999999999999999909e-06,1.799999999999999933e-01
2.009999999999999814e-06,1.799999999999999933e-01
2.020000000000000142e-06,2.000000000000000111e-01
2.030000000000000046e-06,1.799999999999999933e-01
2.039999999999999950e-06,1.799999999999999933e-01
2.049999999999999854e-06,1.799999999999999933e-01
2.059999999999999759e-06,2.000000000000000111e-01
2.070000000000000086e-06,1.799999999999999933e-01
2.079999999999999991e-06,1.799999999999999933e-01
2.089999999999999895e-06,2.000000000000000111e-01
